Model,Borough,Predicted Complaint
SVM,MANHATTAN,Drinking Water
SVM,QUEENS,Drinking Water
SVM,MANHATTAN,Lost Property
SVM,STATEN ISLAND,Encampment
SVM,MANHATTAN,Blocked Driveway
SVM,,Ferry Inquiry
SVM,MANHATTAN,Taxi Complaint
SVM,MANHATTAN,Animal in a Park
SVM,,Litter Basket Complaint
SVM,STATEN ISLAND,Green Taxi Report
SVM,QUEENS,Broken Parking Meter
SVM,STATEN ISLAND,Consumer Complaint
SVM,QUEENS,Litter Basket Complaint
SVM,STATEN ISLAND,Abandoned Vehicle
SVM,QUEENS,GENERAL
SVM,,New Tree Request
SVM,STATEN ISLAND,Violation of Park Rules
SVM,Unspecified,Blocked Driveway
SVM,MANHATTAN,Illegal Dumping
SVM,QUEENS,OUTSIDE BUILDING
SVM,QUEENS,Drug Activity
SVM,MANHATTAN,Noise - Park
SVM,STATEN ISLAND,Posting Advertisement
SVM,QUEENS,Green Taxi Report
SVM,BROOKLYN,ELECTRIC
SVM,BROOKLYN,Institution Disposal Complaint
SVM,STATEN ISLAND,Animal in a Park
SVM,BROOKLYN,Wood Pile Remaining
SVM,QUEENS,Building/Use
SVM,MANHATTAN,Drug Activity
SVM,QUEENS,Animal in a Park
SVM,MANHATTAN,Wood Pile Remaining
SVM,STATEN ISLAND,Calorie Labeling
SVM,BROOKLYN,Building/Use
SVM,STATEN ISLAND,HEAT/HOT WATER
SVM,STATEN ISLAND,OUTSIDE BUILDING
SVM,MANHATTAN,Bike/Roller/Skate Chronic
SVM,STATEN ISLAND,Illegal Animal Sold
SVM,MANHATTAN,Broken Parking Meter
SVM,QUEENS,For Hire Vehicle Complaint
SVM,QUEENS,Taxi Licensee Complaint
SVM,QUEENS,Calorie Labeling
SVM,MANHATTAN,Illegal Animal Sold
SVM,QUEENS,Noise - Park
SVM,BROOKLYN,Noise - Park
SVM,STATEN ISLAND,Institution Disposal Complaint
SVM,BROOKLYN,Animal in a Park
SVM,STATEN ISLAND,ZTESTINT
SVM,,UNSANITARY CONDITION
SVM,QUEENS,UNSANITARY CONDITION
SVM,MANHATTAN,New Tree Request
SVM,STATEN ISLAND,Noise - Park
SVM,BROOKLYN,APPLIANCE
SVM,QUEENS,ZTESTINT
SVM,MANHATTAN,Commercial Disposal Complaint
SVM,MANHATTAN,For Hire Vehicle Complaint
SVM,MANHATTAN,Green Taxi Report
SVM,STATEN ISLAND,DOOR/WINDOW
SVM,STATEN ISLAND,For Hire Vehicle Complaint
SVM,MANHATTAN,Unsanitary Animal Pvt Property
SVM,MANHATTAN,Indoor Sewage
SVM,,Taxi Licensee Complaint
SVM,STATEN ISLAND,Illegal Dumping
SVM,,Public Toilet
SVM,STATEN ISLAND,GENERAL
SVM,STATEN ISLAND,Taxi Licensee Complaint
SVM,BRONX,AHV Inspection Unit
SVM,MANHATTAN,Institution Disposal Complaint
SVM,QUEENS,Institution Disposal Complaint
SVM,QUEENS,Unsanitary Animal Pvt Property
SVM,BROOKLYN,For Hire Vehicle Complaint
